Country,OWIDCountry
World,World
China,China
United States,United States
European Union (27),EU-27
India,India
Russia,Russia
Indonesia,Indonesia
Brazil,Brazil
Japan,Japan
Iran,Iran
Germany,Germany
Canada,Canada
South Korea,South Korea
Mexico,Mexico
Saudi Arabia,Saudi Arabia
Australia,Australia
South Africa,South Africa
Zambia,Zambia
Argentina,Argentina
Nigeria,Nigeria
United Kingdom,United Kingdom
Turkey,Turkey
Thailand,Thailand
France,France
Italy,Italy
Pakistan,Pakistan
Poland,Poland
Venezuela,Venezuela
Vietnam,Vietnam
Tanzania,Tanzania
Spain,Spain
Egypt,Egypt
Malaysia,Malaysia
Ukraine,Ukraine
Kazakhstan,Kazakhstan
United Arab Emirates,United Arab Emirates
Colombia,Colombia
Democratic Republic of the Congo,Democratic Republic of Congo
Myanmar,Myanmar
Uzbekistan,Uzbekistan
Algeria,Algeria
Bangladesh,Bangladesh
Philippines,Philippines
Cameroon,Cameroon
Paraguay,Paraguay
Iraq,Iraq
Ethiopia,Ethiopia
Netherlands,Netherlands
Angola,Angola
Singapore,Singapore
Peru,Peru
Sudan,Sudan
Bolivia,Bolivia
South Sudan,South Sudan
Turkmenistan,Turkmenistan
Czech Republic,Czechia
Kuwait,Kuwait
Belgium,Belgium
Chile,Chile
Romania,Romania
Chad,Chad
Ecuador,Ecuador
Afghanistan,Afghanistan
Qatar,Qatar
Israel,Israel
Morocco,Morocco
Libya,Libya
Greece,Greece
Belarus,Belarus
Azerbaijan,Azerbaijan
Uganda,Uganda
New Zealand,New Zealand
Kenya,Kenya
Austria,Austria
Mozambique,Mozambique
Oman,Oman
Central African Republic,Central African Republic
Botswana,Botswana
Portugal,Portugal
Mongolia,Mongolia
Zimbabwe,Zimbabwe
Ireland,Ireland
North Korea,North Korea
Cambodia,Cambodia
Serbia,Serbia
Papua New Guinea,Papua New Guinea
Finland,Finland
Hungary,Hungary
Nepal,Nepal
Madagascar,Madagascar
Bulgaria,Bulgaria
Honduras,Honduras
Ghana,Ghana
Sweden,Sweden
Republic of Congo,Congo
Switzerland,Switzerland
Denmark,Denmark
Mali,Mali
Laos,Laos
Bahrain,Bahrain
Norway,Norway
Syria,Syria
Guinea,Guinea
Guatemala,Guatemala
Niger,Niger
Cuba,Cuba
Somalia,Somalia
Tunisia,Tunisia
Slovakia,Slovakia
Burkina Faso,Burkina Faso
Dominican Republic,Dominican Republic
Guyana,Guyana
Sri Lanka,Sri Lanka
Uruguay,Uruguay
Jordan,Jordan
Senegal,Senegal
Lebanon,Lebanon
C̫te d'Ivoire,Cote d'Ivoire
Bosnia and Herzegovina,Bosnia and Herzegovina
Panama,Panama
Benin,Benin
Trinidad and Tobago,Trinidad and Tobago
Yemen,Yemen
Equatorial Guinea,Equatorial Guinea
Croatia,Croatia
Malawi,Malawi
Nicaragua,Nicaragua
Namibia,Namibia
Estonia,Estonia
Lithuania,Lithuania
Georgia,Georgia
Slovenia,Slovenia
Kyrgyzstan,Kyrgyzstan
Brunei,Brunei
Costa Rica,Costa Rica
Togo,Togo
Sierra Leone,Sierra Leone
El Salvador,El Salvador
Tajikistan,Tajikistan
Moldova,Moldova
Mauritania,Mauritania
Latvia,Latvia
Liberia,Liberia
Macedonia,North Macedonia
Haiti,Haiti
Luxembourg,Luxembourg
Armenia,Armenia
Jamaica,Jamaica
Albania,Albania
Cyprus,Cyprus
Gabon,Gabon
Eritrea,Eritrea
Burundi,Burundi
Rwanda,Rwanda
Suriname,Suriname
Mauritius,Mauritius
Timor-Leste,Timor
Malta,Malta
Belize,Belize
Barbados,Barbados
Guinea-Bissau,Guinea-Bissau
Bahamas,Bahamas
Fiji,Fiji
Lesotho,Lesotho
Montenegro,Montenegro
Iceland,Iceland
Eswatini,Eswatini
Gambia,Gambia
Solomon Islands,Solomon Islands
Grenada,Grenada
Djibouti,Djibouti
Maldives,Maldives
Bhutan,Bhutan
Antigua and Barbuda,Antigua and Barbuda
Seychelles,Seychelles
Cape Verde,Cape Verde
Vanuatu,Vanuatu
Saint Lucia,Saint Lucia
Samoa,Samoa
Comoros,Comoros
Dominica,Dominica
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Tonga,Tonga
Sao Tome and Principe,Sao Tome and Principe
Andorra,Andorra
Cook Islands,Cook Islands
Micronesia,Micronesia
Kiribati,Kiribati
Nauru,Nauru
Niue,Niue
Marshall Islands,Marshall Islands
Liechtenstein,Liechtenstein
Palau,Palau
Tuvalu,Tuvalu
